Year,Индикатор,Units,Пол,Категория,Возраст,Value
2023,The share of pensioners to the total number of population at the end of the year,%,женщина,,63 и более лет,74.41
2024,The share of pensioners to the total number of population at the end of the year,%,,,,16.27
2024,The share of pensioners to the total number of population at the end of the year,%,мужчина,,,13.69
2024,The share of pensioners to the total number of population at the end of the year,%,женщина,,,18.58
2024,The share of pensioners to the total number of population at the end of the year,%,,возрастные,,12.38
2024,The share of pensioners to the total number of population at the end of the year,%,мужчина,возрастные,,10.11
2024,The share of pensioners to the total number of population at the end of the year,%,женщина,возрастные,,14.41
2024,The share of pensioners to the total number of population at the end of the year,%,,на льготных условиях,,0.03
2024,The share of pensioners to the total number of population at the end of the year,%,мужчина,на льготных условиях,,0.04
2024,The share of pensioners to the total number of population at the end of the year,%,женщина,на льготных условиях,,0.01
2024,The share of pensioners to the total number of population at the end of the year,%,,за выслугу лет,,0.01
2024,The share of pensioners to the total number of population at the end of the year,%,мужчина,за выслугу лет,,0.01
2024,The share of pensioners to the total number of population at the end of the year,%,женщина,за выслугу лет,,0.0
2024,The share of pensioners to the total number of population at the end of the year,%,,частичные,,0.24
2024,The share of pensioners to the total number of population at the end of the year,%,мужчина,частичные,,0.04
2024,The share of pensioners to the total number of population at the end of the year,%,женщина,частичные,,0.42
2024,The share of pensioners to the total number of population at the end of the year,%,,по инвалидности,,3.34
2024,The share of pensioners to the total number of population at the end of the year,%,мужчина,по инвалидности,,3.21
2024,The share of pensioners to the total number of population at the end of the year,%,женщина,по инвалидности,,3.46
2024,The share of pensioners to the total number of population at the end of the year,%,,в случае потери кормильца,,0.2
2024,The share of pensioners to the total number of population at the end of the year,%,мужчина,в случае потери кормильца,,0.13
2024,The share of pensioners to the total number of population at the end of the year,%,женщина,в случае потери кормильца,,0.26
2024,The share of pensioners to the total number of population at the end of the year,%,,установленные по другим законам,,0.03
2024,The share of pensioners to the total number of population at the end of the year,%,мужчина,установленные по другим законам,,0.05
2024,The share of pensioners to the total number of population at the end of the year,%,женщина,установленные по другим законам,,0.0
2024,The share of pensioners to the total number of population at the end of the year,%,,связанные с военной службой,,0.05
2024,The share of pensioners to the total number of population at the end of the year,%,мужчина,связанные с военной службой,,0.1
2024,The share of pensioners to the total number of population at the end of the year,%,женщина,связанные с военной службой,,0.0
2024,The share of pensioners to the total number of population at the end of the year,%,,,до 51 лет,0.47
2024,The share of pensioners to the total number of population at the end of the year,%,мужчина,,до 51 лет,0.52
2024,The share of pensioners to the total number of population at the end of the year,%,женщина,,до 51 лет,0.42
2024,The share of pensioners to the total number of population at the end of the year,%,,,aged 51-55 years,2.24
2024,The share of pensioners to the total number of population at the end of the year,%,мужчина,,aged 51-55 years,3.18
2024,The share of pensioners to the total number of population at the end of the year,%,женщина,,aged 51-55 years,1.75
2024,The share of pensioners to the total number of population at the end of the year,%,,,aged 56-62 years,8.64
2024,The share of pensioners to the total number of population at the end of the year,%,мужчина,,aged 56-62 years,6.73
2024,The share of pensioners to the total number of population at the end of the year,%,женщина,,aged 56-62 years,10.66
2024,The share of pensioners to the total number of population at the end of the year,%,,,63 и более лет,73.3
2024,The share of pensioners to the total number of population at the end of the year,%,мужчина,,63 и более лет,71.49
2024,The share of pensioners to the total number of population at the end of the year,%,женщина,,63 и более лет,74.52
2015,The share of families receiving family benefits to households,%,,,,10.58
2016,The share of families receiving family benefits to households,%,,,,10.57
2017,The share of families receiving family benefits to households,%,,,,10.0
2018,The share of families receiving family benefits to households,%,,,,8.99
2019,The share of families receiving family benefits to households,%,,,,8.08
2020,The share of families receiving family benefits to households,%,,,,8.12
2021,The share of families receiving family benefits to households,%,,,,7.59
2022,The share of families receiving family benefits to households,%,,,,6.7
2023,The share of families receiving family benefits to households,%,,,,5.23
2024,The share of families receiving family benefits to households,%,,,,4.51
2015,The share of families receiving social benefits to households,%,,,,3.41
2016,The share of families receiving social benefits to households,%,,,,3.49
2017,The share of families receiving social benefits to households,%,,,,3.31
2018,The share of families receiving social benefits to households,%,,,,3.33
2019,The share of families receiving social benefits to households,%,,,,3.26
2020,The share of families receiving social benefits to households,%,,,,3.32
2021,The share of families receiving social benefits to households,%,,,,3.24
2022,The share of families receiving social benefits to households,%,,,,2.85
2023,The share of families receiving social benefits to households,%,,,,2.7
2024,The share of families receiving social benefits to households,%,,,,2.4
2015,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,,2.11
2016,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,,2.21
2017,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,,2.12
2018,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,,2.2
2019,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,,2.43
2020,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,,2.58
2015,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,мужчина,,,2.31
2016,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,мужчина,,,2.42
2017,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,мужчина,,,2.36
2018,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,мужчина,,,2.44
2019,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,мужчина,,,2.66
2020,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,мужчина,,,2.79
2015,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,женщина,,,1.93
2016,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,женщина,,,2.02
2017,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,женщина,,,1.9
2018,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,женщина,,,1.98
2019,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,женщина,,,2.21
2020,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,женщина,,,2.39
2015,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,по старости,,0.12
2016,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,по старости,,0.13
2017,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,по старости,,0.16
2018,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,по старости,,0.19
2019,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,по старости,,0.26
2020,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,по старости,,0.33
2015,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,мужчина,по старости,,0.04
2016,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,мужчина,по старости,,0.06
2017,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,мужчина,по старости,,0.07
2018,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,мужчина,по старости,,0.09
2019,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,мужчина,по старости,,0.13
2020,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,мужчина,по старости,,0.16
2015,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,женщина,по старости,,0.18
2016,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,женщина,по старости,,0.2
2017,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,женщина,по старости,,0.23
2018,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,женщина,по старости,,0.28
2019,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,женщина,по старости,,0.38
2020,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,женщина,по старости,,0.48
2015,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,по инвалидности,,1.6
2016,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,по инвалидности,,1.68
2017,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,по инвалидности,,1.57
2018,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,по инвалидности,,1.61
2019,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,по инвалидности,,1.76
2020,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,по инвалидности,,1.84
2015,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,мужчина,по инвалидности,,1.94
2016,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,мужчина,по инвалидности,,2.02
2017,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,мужчина,по инвалидности,,1.95
2018,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,мужчина,по инвалидности,,2.0
2019,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,мужчина,по инвалидности,,2.17
2020,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,мужчина,по инвалидности,,2.26
2015,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,женщина,по инвалидности,,1.29
2016,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,женщина,по инвалидности,,1.36
2017,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,женщина,по инвалидности,,1.23
2018,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,женщина,по инвалидности,,1.26
2019,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,женщина,по инвалидности,,1.39
2020,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,женщина,по инвалидности,,1.46
2015,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,в случае потери кормильца,,0.39
2016,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,в случае потери кормильца,,0.4
2017,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,в случае потери кормильца,,0.39
2018,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,в случае потери кормильца,,0.4
2019,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,в случае потери кормильца,,0.41
2020,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,в случае потери кормильца,,0.41
2015,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,мужчина,в случае потери кормильца,,0.32
2016,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,мужчина,в случае потери кормильца,,0.34
2017,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,мужчина,в случае потери кормильца,,0.34
2018,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,мужчина,в случае потери кормильца,,0.35
2019,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,мужчина,в случае потери кормильца,,0.36
2020,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,мужчина,в случае потери кормильца,,0.37
2015,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,женщина,в случае потери кормильца,,0.46
2016,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,женщина,в случае потери кормильца,,0.45
2017,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,женщина,в случае потери кормильца,,0.44
2018,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,женщина,в случае потери кормильца,,0.44
2019,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,женщина,в случае потери кормильца,,0.44
2020,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,женщина,в случае потери кормильца,,0.45
2015,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,до 51 лет,2.39
2016,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,до 51 лет,2.46
2017,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,до 51 лет,2.34
2018,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,до 51 лет,2.35
2019,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,до 51 лет,2.48
2020,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,до 51 лет,2.51
2015,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,мужчина,,до 51 лет,2.77
2016,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,мужчина,,до 51 лет,2.87
2017,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,мужчина,,до 51 лет,2.77
2018,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,мужчина,,до 51 лет,2.79
2019,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,мужчина,,до 51 лет,2.93
2020,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,мужчина,,до 51 лет,2.96
2015,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,женщина,,до 51 лет,2.02
2016,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,женщина,,до 51 лет,2.06
2017,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,женщина,,до 51 лет,1.93
2018,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,женщина,,до 51 лет,1.93
2019,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,женщина,,до 51 лет,2.03
2020,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,женщина,,до 51 лет,2.06
2015,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,51-55 лет,1.99
2016,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,51-55 лет,2.36
2017,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,51-55 лет,2.2
2018,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,51-55 лет,2.47
2019,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,51-55 лет,3.03
2020,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,51-55 лет,3.5
2015,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,мужчина,,51-55 лет,1.8
2016,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,мужчина,,51-55 лет,2.27
2017,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,мужчина,,51-55 лет,2.37
2018,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,мужчина,,51-55 лет,2.84
2019,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,мужчина,,51-55 лет,3.62
2020,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,мужчина,,51-55 лет,4.23
2015,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,женщина,,51-55 лет,2.15
2016,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,женщина,,51-55 лет,2.44
2017,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,женщина,,51-55 лет,2.06
2018,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,женщина,,51-55 лет,2.18
2019,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,женщина,,51-55 лет,2.57
2020,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,женщина,,51-55 лет,2.93
2015,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,56-62 лет,1.24
2016,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,56-62 лет,1.37
2017,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,56-62 лет,1.27
2018,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,56-62 лет,1.48
2019,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,56-62 лет,1.9
2020,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,56-62 лет,2.26
2015,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,мужчина,,56-62 лет,0.87
2016,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,мужчина,,56-62 лет,0.98
2017,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,мужчина,,56-62 лет,1.02
2018,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,мужчина,,56-62 лет,1.26
2019,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,мужчина,,56-62 лет,1.73
2020,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,мужчина,,56-62 лет,2.18
2015,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,женщина,,56-62 лет,1.55
2016,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,женщина,,56-62 лет,1.69
2017,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,женщина,,56-62 лет,1.46
2018,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,женщина,,56-62 лет,1.65
2019,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,женщина,,56-62 лет,2.03
2020,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,женщина,,56-62 лет,2.32
2015,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,63 и более лет,1.24
2016,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,63 и более лет,1.39
2017,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,63 и более лет,1.54
2018,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,63 и более лет,1.81
2019,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,63 и более лет,2.3
2020,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,63 и более лет,2.78
2015,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,мужчина,,63 и более лет,0.6
2016,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,мужчина,,63 и более лет,0.72
2017,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,мужчина,,63 и более лет,0.84
2018,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,мужчина,,63 и более лет,1.05
2019,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,мужчина,,63 и более лет,1.36
2020,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,мужчина,,63 и более лет,1.67
2015,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,женщина,,63 и более лет,1.67
2016,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,женщина,,63 и более лет,1.84
2017,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,женщина,,63 и более лет,2.01
2018,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,женщина,,63 и более лет,2.31
2019,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,женщина,,63 и более лет,2.92
2020,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,женщина,,63 и более лет,3.51
2021,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,,2.84
2021,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,мужчина,,,3.02
2021,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,женщина,,,2.69
2021,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,по старости,,0.44
2021,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,мужчина,по старости,,0.21
2021,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,женщина,по старости,,0.63
2021,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,по инвалидности,,1.95
2021,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,мужчина,по инвалидности,,2.39
2021,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,женщина,по инвалидности,,1.56
2021,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,в случае потери кормильца,,0.46
2021,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,мужчина,в случае потери кормильца,,0.41
2021,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,женщина,в случае потери кормильца,,0.5
2021,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,до 51 лет,2.63
2021,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,мужчина,,до 51 лет,3.09
2021,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,женщина,,до 51 лет,2.19
2021,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,51-55 лет,3.84
2021,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,мужчина,,51-55 лет,4.13
2021,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,женщина,,51-55 лет,3.22
2021,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,56-62 лет,2.73
2021,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,мужчина,,56-62 лет,2.81
2021,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,женщина,,56-62 лет,2.67
2021,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,63 и более лет,3.52
2021,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,мужчина,,63 и более лет,2.15
2021,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,женщина,,63 и более лет,4.42
2022,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,,3.03
2022,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,мужчина,,,3.15
2022,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,женщина,,,2.93
2022,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,по старости,,0.59
2022,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,мужчина,по старости,,0.3
2022,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,женщина,по старости,,0.85
2022,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,по инвалидности,,1.98
2022,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,мужчина,по инвалидности,,2.44
2022,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,женщина,по инвалидности,,1.58
2022,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,в случае потери кормильца,,0.46
2022,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,мужчина,в случае потери кормильца,,0.42
2022,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,женщина,в случае потери кормильца,,0.5
2022,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,до 51 лет,2.62
2022,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,мужчина,,до 51 лет,3.08
2022,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,женщина,,до 51 лет,2.17
2022,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,51-55 лет,3.95
2022,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,мужчина,,51-55 лет,4.92
2022,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,женщина,,51-55 лет,3.2
2022,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,56-62 лет,3.01
2022,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,мужчина,,56-62 лет,3.26
2022,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,женщина,,56-62 лет,2.82
2022,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,63 и более лет,4.51
2022,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,мужчина,,63 и более лет,2.83
2022,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,женщина,,63 и более лет,5.61
2023,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,,3.34
2023,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,мужчина,,,3.38
2023,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,женщина,,,3.3
