Year,Indicator,Units,Սեռ,Կատեգորիա,Տարիք,Value
2023,The share of pensioners to the total number of population at the end of the year,%,կին,տարիքային,,13.91
2023,The share of pensioners to the total number of population at the end of the year,%,,արտոնյալ պայմաններով,,0.03
2023,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,արտոնյալ պայմաններով,,0.05
2023,The share of pensioners to the total number of population at the end of the year,%,կին,արտոնյալ պայմաններով,,0.02
2023,The share of pensioners to the total number of population at the end of the year,%,,երկարամյա ծառայության,,0.01
2023,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,երկարամյա ծառայության,,0.02
2023,The share of pensioners to the total number of population at the end of the year,%,կին,երկարամյա ծառայության,,0.01
2023,The share of pensioners to the total number of population at the end of the year,%,,մասնակի,,0.27
2023,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,մասնակի,,0.04
2023,The share of pensioners to the total number of population at the end of the year,%,կին,մասնակի,,0.47
2023,The share of pensioners to the total number of population at the end of the year,%,,հաշմանդամության,,3.38
2023,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,հաշմանդամության,,3.25
2023,The share of pensioners to the total number of population at the end of the year,%,կին,հաշմանդամության,,3.49
2023,The share of pensioners to the total number of population at the end of the year,%,,կերակրողին կորցնելու դեպքում,,0.21
2023,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,կերակրողին կորցնելու դեպքում,,0.14
2023,The share of pensioners to the total number of population at the end of the year,%,կին,կերակրողին կորցնելու դեպքում,,0.28
2023,The share of pensioners to the total number of population at the end of the year,%,,այլ օրենքներով սահմանված,,0.03
2023,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,այլ օրենքներով սահմանված,,0.02
2023,The share of pensioners to the total number of population at the end of the year,%,կին,այլ օրենքներով սահմանված,,0.0
2023,The share of pensioners to the total number of population at the end of the year,%,,զինծառայության հետ կապված,,0.05
2023,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,զինծառայության հետ կապված,,0.11
2023,The share of pensioners to the total number of population at the end of the year,%,կին,զինծառայության հետ կապված,,0.0004
2023,The share of pensioners to the total number of population at the end of the year,%,,,մինչև 51 տարեկան,0.49
2023,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,,մինչև 51 տարեկան,0.53
2023,The share of pensioners to the total number of population at the end of the year,%,կին,,մինչև 51 տարեկան,0.45
2023,The share of pensioners to the total number of population at the end of the year,%,,,51-55 տարեկան,2.49
2023,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,,51-55 տարեկան,2.64
2023,The share of pensioners to the total number of population at the end of the year,%,կին,,51-55 տարեկան,2.36
2023,The share of pensioners to the total number of population at the end of the year,%,,,56-62 տարեկան,9.38
2023,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,,56-62 տարեկան,0.86
2023,The share of pensioners to the total number of population at the end of the year,%,կին,,56-62 տարեկան,9.97
2023,The share of pensioners to the total number of population at the end of the year,%,,,63 և բարձր տարիքի,73.02
2023,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,,63 և բարձր տարիքի,70.97
2023,The share of pensioners to the total number of population at the end of the year,%,կին,,63 և բարձր տարիքի,74.41
2024,The share of pensioners to the total number of population at the end of the year,%,,,,16.27
2024,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,,,13.69
2024,The share of pensioners to the total number of population at the end of the year,%,կին,,,18.58
2024,The share of pensioners to the total number of population at the end of the year,%,,տարիքային,,12.38
2024,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,տարիքային,,10.11
2024,The share of pensioners to the total number of population at the end of the year,%,կին,տարիքային,,14.41
2024,The share of pensioners to the total number of population at the end of the year,%,,արտոնյալ պայմաններով,,0.03
2024,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,արտոնյալ պայմաններով,,0.04
2024,The share of pensioners to the total number of population at the end of the year,%,կին,արտոնյալ պայմաններով,,0.01
2024,The share of pensioners to the total number of population at the end of the year,%,,երկարամյա ծառայության,,0.01
2024,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,երկարամյա ծառայության,,0.01
2024,The share of pensioners to the total number of population at the end of the year,%,կին,երկարամյա ծառայության,,0.0
2024,The share of pensioners to the total number of population at the end of the year,%,,մասնակի,,0.24
2024,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,մասնակի,,0.04
2024,The share of pensioners to the total number of population at the end of the year,%,կին,մասնակի,,0.42
2024,The share of pensioners to the total number of population at the end of the year,%,,հաշմանդամության,,3.34
2024,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,հաշմանդամության,,3.21
2024,The share of pensioners to the total number of population at the end of the year,%,կին,հաշմանդամության,,3.46
2024,The share of pensioners to the total number of population at the end of the year,%,,կերակրողին կորցնելու դեպքում,,0.2
2024,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,կերակրողին կորցնելու դեպքում,,0.13
2024,The share of pensioners to the total number of population at the end of the year,%,կին,կերակրողին կորցնելու դեպքում,,0.26
2024,The share of pensioners to the total number of population at the end of the year,%,,այլ օրենքներով սահմանված,,0.03
2024,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,այլ օրենքներով սահմանված,,0.05
2024,The share of pensioners to the total number of population at the end of the year,%,կին,այլ օրենքներով սահմանված,,0.0
2024,The share of pensioners to the total number of population at the end of the year,%,,զինծառայության հետ կապված,,0.05
2024,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,զինծառայության հետ կապված,,0.1
2024,The share of pensioners to the total number of population at the end of the year,%,կին,զինծառայության հետ կապված,,0.0
2024,The share of pensioners to the total number of population at the end of the year,%,,,մինչև 51 տարեկան,0.47
2024,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,,մինչև 51 տարեկան,0.52
2024,The share of pensioners to the total number of population at the end of the year,%,կին,,մինչև 51 տարեկան,0.42
2024,The share of pensioners to the total number of population at the end of the year,%,,,aged 51-55 years,2.24
2024,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,,aged 51-55 years,3.18
2024,The share of pensioners to the total number of population at the end of the year,%,կին,,aged 51-55 years,1.75
2024,The share of pensioners to the total number of population at the end of the year,%,,,aged 56-62 years,8.64
2024,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,,aged 56-62 years,6.73
2024,The share of pensioners to the total number of population at the end of the year,%,կին,,aged 56-62 years,10.66
2024,The share of pensioners to the total number of population at the end of the year,%,,,63 և բարձր տարիքի,73.3
2024,The share of pensioners to the total number of population at the end of the year,%,տղամարդ,,63 և բարձր տարիքի,71.49
2024,The share of pensioners to the total number of population at the end of the year,%,կին,,63 և բարձր տարիքի,74.52
2015,The share of families receiving family benefits to households,%,,,,10.58
2016,The share of families receiving family benefits to households,%,,,,10.57
2017,The share of families receiving family benefits to households,%,,,,10.0
2018,The share of families receiving family benefits to households,%,,,,8.99
2019,The share of families receiving family benefits to households,%,,,,8.08
2020,The share of families receiving family benefits to households,%,,,,8.12
2021,The share of families receiving family benefits to households,%,,,,7.59
2022,The share of families receiving family benefits to households,%,,,,6.7
2023,The share of families receiving family benefits to households,%,,,,5.23
2024,The share of families receiving family benefits to households,%,,,,4.51
2015,The share of families receiving social benefits to households,%,,,,3.41
2016,The share of families receiving social benefits to households,%,,,,3.49
2017,The share of families receiving social benefits to households,%,,,,3.31
2018,The share of families receiving social benefits to households,%,,,,3.33
2019,The share of families receiving social benefits to households,%,,,,3.26
2020,The share of families receiving social benefits to households,%,,,,3.32
2021,The share of families receiving social benefits to households,%,,,,3.24
2022,The share of families receiving social benefits to households,%,,,,2.85
2023,The share of families receiving social benefits to households,%,,,,2.7
2024,The share of families receiving social benefits to households,%,,,,2.4
2015,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,,2.11
2016,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,,2.21
2017,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,,2.12
2018,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,,2.2
2019,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,,2.43
2020,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,,2.58
2015,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,տղամարդ,,,2.31
2016,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,տղամարդ,,,2.42
2017,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,տղամարդ,,,2.36
2018,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,տղամարդ,,,2.44
2019,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,տղամարդ,,,2.66
2020,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,տղամարդ,,,2.79
2015,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,կին,,,1.93
2016,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,կին,,,2.02
2017,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,կին,,,1.9
2018,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,կին,,,1.98
2019,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,կին,,,2.21
2020,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,կին,,,2.39
2015,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,ծերության,,0.12
2016,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,ծերության,,0.13
2017,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,ծերության,,0.16
2018,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,ծերության,,0.19
2019,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,ծերության,,0.26
2020,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,ծերության,,0.33
2015,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,տղամարդ,ծերության,,0.04
2016,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,տղամարդ,ծերության,,0.06
2017,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,տղամարդ,ծերության,,0.07
2018,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,տղամարդ,ծերության,,0.09
2019,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,տղամարդ,ծերության,,0.13
2020,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,տղամարդ,ծերության,,0.16
2015,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,կին,ծերության,,0.18
2016,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,կին,ծերության,,0.2
2017,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,կին,ծերության,,0.23
2018,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,կին,ծերության,,0.28
2019,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,կին,ծերության,,0.38
2020,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,կին,ծերության,,0.48
2015,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,հաշմանդամության,,1.6
2016,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,հաշմանդամության,,1.68
2017,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,հաշմանդամության,,1.57
2018,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,հաշմանդամության,,1.61
2019,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,հաշմանդամության,,1.76
2020,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,հաշմանդամության,,1.84
2015,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,տղամարդ,հաշմանդամության,,1.94
2016,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,տղամարդ,հաշմանդամության,,2.02
2017,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,տղամարդ,հաշմանդամության,,1.95
2018,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,տղամարդ,հաշմանդամության,,2.0
2019,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,տղամարդ,հաշմանդամության,,2.17
2020,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,տղամարդ,հաշմանդամության,,2.26
2015,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,կին,հաշմանդամության,,1.29
2016,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,կին,հաշմանդամության,,1.36
2017,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,կին,հաշմանդամության,,1.23
2018,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,կին,հաշմանդամության,,1.26
2019,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,կին,հաշմանդամության,,1.39
2020,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,կին,հաշմանդամության,,1.46
2015,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,կերակրողին կորցնելու դեպքում,,0.39
2016,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,կերակրողին կորցնելու դեպքում,,0.4
2017,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,կերակրողին կորցնելու դեպքում,,0.39
2018,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,կերակրողին կորցնելու դեպքում,,0.4
2019,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,կերակրողին կորցնելու դեպքում,,0.41
2020,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,կերակրողին կորցնելու դեպքում,,0.41
2015,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,տղամարդ,կերակրողին կորցնելու դեպքում,,0.32
2016,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,տղամարդ,կերակրողին կորցնելու դեպքում,,0.34
2017,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,տղամարդ,կերակրողին կորցնելու դեպքում,,0.34
2018,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,տղամարդ,կերակրողին կորցնելու դեպքում,,0.35
2019,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,տղամարդ,կերակրողին կորցնելու դեպքում,,0.36
2020,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,տղամարդ,կերակրողին կորցնելու դեպքում,,0.37
2015,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,կին,կերակրողին կորցնելու դեպքում,,0.46
2016,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,կին,կերակրողին կորցնելու դեպքում,,0.45
2017,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,կին,կերակրողին կորցնելու դեպքում,,0.44
2018,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,կին,կերակրողին կորցնելու դեպքում,,0.44
2019,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,կին,կերակրողին կորցնելու դեպքում,,0.44
2020,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,կին,կերակրողին կորցնելու դեպքում,,0.45
2015,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,մինչև 51 տարեկան,2.39
2016,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,մինչև 51 տարեկան,2.46
2017,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,մինչև 51 տարեկան,2.34
2018,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,մինչև 51 տարեկան,2.35
2019,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,մինչև 51 տարեկան,2.48
2020,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,մինչև 51 տարեկան,2.51
2015,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,տղամարդ,,մինչև 51 տարեկան,2.77
2016,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,տղամարդ,,մինչև 51 տարեկան,2.87
2017,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,տղամարդ,,մինչև 51 տարեկան,2.77
2018,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,տղամարդ,,մինչև 51 տարեկան,2.79
2019,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,տղամարդ,,մինչև 51 տարեկան,2.93
2020,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,տղամարդ,,մինչև 51 տարեկան,2.96
2015,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,կին,,մինչև 51 տարեկան,2.02
2016,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,կին,,մինչև 51 տարեկան,2.06
2017,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,կին,,մինչև 51 տարեկան,1.93
2018,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,կին,,մինչև 51 տարեկան,1.93
2019,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,կին,,մինչև 51 տարեկան,2.03
2020,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,կին,,մինչև 51 տարեկան,2.06
2015,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,51-55 տարեկան,1.99
2016,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,51-55 տարեկան,2.36
2017,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,51-55 տարեկան,2.2
2018,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,51-55 տարեկան,2.47
2019,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,51-55 տարեկան,3.03
2020,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,51-55 տարեկան,3.5
2015,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,տղամարդ,,51-55 տարեկան,1.8
2016,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,տղամարդ,,51-55 տարեկան,2.27
2017,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,տղամարդ,,51-55 տարեկան,2.37
2018,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,տղամարդ,,51-55 տարեկան,2.84
2019,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,տղամարդ,,51-55 տարեկան,3.62
2020,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,տղամարդ,,51-55 տարեկան,4.23
2015,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,կին,,51-55 տարեկան,2.15
2016,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,կին,,51-55 տարեկան,2.44
2017,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,կին,,51-55 տարեկան,2.06
2018,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,կին,,51-55 տարեկան,2.18
2019,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,կին,,51-55 տարեկան,2.57
2020,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,կին,,51-55 տարեկան,2.93
2015,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,56-62 տարեկան,1.24
2016,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,56-62 տարեկան,1.37
2017,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,56-62 տարեկան,1.27
2018,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,56-62 տարեկան,1.48
2019,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,56-62 տարեկան,1.9
2020,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,56-62 տարեկան,2.26
2015,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,տղամարդ,,56-62 տարեկան,0.87
2016,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,տղամարդ,,56-62 տարեկան,0.98
2017,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,տղամարդ,,56-62 տարեկան,1.02
2018,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,տղամարդ,,56-62 տարեկան,1.26
2019,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,տղամարդ,,56-62 տարեկան,1.73
2020,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,տղամարդ,,56-62 տարեկան,2.18
2015,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,կին,,56-62 տարեկան,1.55
2016,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,կին,,56-62 տարեկան,1.69
2017,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,կին,,56-62 տարեկան,1.46
2018,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,կին,,56-62 տարեկան,1.65
2019,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,կին,,56-62 տարեկան,2.03
2020,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,կին,,56-62 տարեկան,2.32
2015,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,63 և բարձր տարիքի,1.24
2016,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,63 և բարձր տարիքի,1.39
2017,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,63 և բարձր տարիքի,1.54
2018,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,63 և բարձր տարիքի,1.81
2019,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,63 և բարձր տարիքի,2.3
2020,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,63 և բարձր տարիքի,2.78
2015,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,տղամարդ,,63 և բարձր տարիքի,0.6
2016,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,տղամարդ,,63 և բարձր տարիքի,0.72
2017,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,տղամարդ,,63 և բարձր տարիքի,0.84
2018,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,տղամարդ,,63 և բարձր տարիքի,1.05
2019,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,տղամարդ,,63 և բարձր տարիքի,1.36
2020,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,տղամարդ,,63 և բարձր տարիքի,1.67
2015,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,կին,,63 և բարձր տարիքի,1.67
2016,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,կին,,63 և բարձր տարիքի,1.84
2017,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,կին,,63 և բարձր տարիքի,2.01
2018,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,կին,,63 և բարձր տարիքի,2.31
2019,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,կին,,63 և բարձր տարիքի,2.92
2020,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,կին,,63 և բարձր տարիքի,3.51
2021,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,,2.84
2021,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,տղամարդ,,,3.02
2021,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,կին,,,2.69
2021,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,ծերության,,0.44
2021,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,տղամարդ,ծերության,,0.21
2021,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,կին,ծերության,,0.63
2021,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,հաշմանդամության,,1.95
2021,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,տղամարդ,հաշմանդամության,,2.39
2021,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,կին,հաշմանդամության,,1.56
2021,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,կերակրողին կորցնելու դեպքում,,0.46
2021,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,տղամարդ,կերակրողին կորցնելու դեպքում,,0.41
2021,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,կին,կերակրողին կորցնելու դեպքում,,0.5
2021,"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",%,,,մինչև 51 տարեկան,2.63
