Year,Սեռ,Գտնվելու վայրը,Տարիք,Կատեգորիա,Քվինտիլներ,Ծառայություններ,Value
2023,տղամարդ,,,,,հեռախոս ստացիոնար,99.3
2023,կին,,,,,հեռախոս ստացիոնար,99.2
2023,,քաղաք,,,,հեռախոս ստացիոնար,99.2
2023,,գյուղ,,,,հեռախոս ստացիոնար,100.0
2023,,,0-25 տարեկան,,,հեռախոս ստացիոնար,99.5
2023,,,25-34 տարեկան,,,հեռախոս ստացիոնար,97.7
2023,,,35-44 տարեկան,,,հեռախոս ստացիոնար,100.0
2023,,,45-54 տարեկան,,,հեռախոս ստացիոնար,99.8
2023,,,55-64 տարեկան,,,հեռախոս ստացիոնար,98.9
2023,,,65 և բարձր տարիքի,,,հեռախոս ստացիոնար,99.3
2023,,,,հաշմանդամներ,,հեռախոս ստացիոնար,99.3
2023,,,,,I-ին քվինտիլ,հեռախոս ստացիոնար,97.5
2023,,,,,II-րդ քվինտիլ,հեռախոս ստացիոնար,100.0
2023,,,,,III-րդ քվինտիլ,հեռախոս ստացիոնար,98.9
2023,,,,,IV-րդ քվինտիլ,հեռախոս ստացիոնար,99.7
2023,,,,,V-րդ քվինտիլ,հեռախոս ստացիոնար,99.5
2023,,,,,,էլեկտրաէներգիայի մատակարարում,99.0
2023,տղամարդ,,,,,էլեկտրաէներգիայի մատակարարում,99.0
2023,կին,,,,,էլեկտրաէներգիայի մատակարարում,99.0
2023,,քաղաք,,,,էլեկտրաէներգիայի մատակարարում,98.9
2023,,գյուղ,,,,էլեկտրաէներգիայի մատակարարում,99.0
2023,,,0-25 տարեկան,,,էլեկտրաէներգիայի մատակարարում,98.8
2023,,,25-34 տարեկան,,,էլեկտրաէներգիայի մատակարարում,99.3
2023,,,35-44 տարեկան,,,էլեկտրաէներգիայի մատակարարում,98.7
2023,,,45-54 տարեկան,,,էլեկտրաէներգիայի մատակարարում,99.2
2023,,,55-64 տարեկան,,,էլեկտրաէներգիայի մատակարարում,99.0
2023,,,65 և բարձր տարիքի,,,էլեկտրաէներգիայի մատակարարում,99.2
2023,,,,հաշմանդամներ,,էլեկտրաէներգիայի մատակարարում,99.1
2023,,,,,I-ին քվինտիլ,էլեկտրաէներգիայի մատակարարում,99.5
2023,,,,,II-րդ քվինտիլ,էլեկտրաէներգիայի մատակարարում,98.9
2023,,,,,III-րդ քվինտիլ,էլեկտրաէներգիայի մատակարարում,98.7
2023,,,,,IVquintile,էլեկտրաէներգիայի մատակարարում,99.2
2023,,,,,V-րդ քվինտիլ,էլեկտրաէներգիայի մատակարարում,98.5
2023,,,,,,փոստային ծառայություններ,97.8
2023,տղամարդ,,,,,փոստային ծառայություններ,97.8
2023,կին,,,,,փոստային ծառայություններ,97.8
2023,,քաղաք,,,,փոստային ծառայություններ,98.5
2023,,գյուղ,,,,փոստային ծառայություններ,97.0
2023,,,0-25 տարեկան,,,փոստային ծառայություններ,97.7
2023,,,25-34 տարեկան,,,փոստային ծառայություններ,97.8
2023,,,35-44 տարեկան,,,փոստային ծառայություններ,97.7
2023,,,45-54 տարեկան,,,փոստային ծառայություններ,97.6
2023,,,55-64 տարեկան,,,փոստային ծառայություններ,98.1
2023,,,65 և բարձր տարիքի,,,փոստային ծառայություններ,97.9
2023,,,,հաշմանդամներ,,փոստային ծառայություններ,98.7
2023,,,,,I-ին քվինտիլ,փոստային ծառայություններ,99.0
2023,,,,,II-րդ քվինտիլ,փոստային ծառայություններ,97.9
2023,,,,,III-րդ քվինտիլ,փոստային ծառայություններ,98.0
2023,,,,,IV-րդ քվինտիլ,փոստային ծառայություններ,97.1
2023,,,,,V-րդ քվինտիլ,փոստային ծառայություններ,96.8
2023,,,,,,բանկային ծառայություններ,92.2
2023,տղամարդ,,,,,բանկային ծառայություններ,92.2
2023,կին,,,,,բանկային ծառայություններ,92.1
2023,,քաղաք,,,,բանկային ծառայություններ,90.0
2023,,գյուղ,,,,բանկային ծառայություններ,95.2
2023,,,0-25 տարեկան,,,բանկային ծառայություններ,91.2
2023,,,25-34 տարեկան,,,բանկային ծառայություններ,90.9
2023,,,35-44 տարեկան,,,բանկային ծառայություններ,91.3
2023,,,45-54 տարեկան,,,բանկային ծառայություններ,92.7
2023,,,55-64 տարեկան,,,բանկային ծառայություններ,92.4
2023,,,65 և բարձր տարիքի,,,բանկային ծառայություններ,95.0
2023,,,,հաշմանդամներ,,բանկային ծառայություններ,92.5
2023,,,,,I-ին քվինտիլ,բանկային ծառայություններ,96.2
2023,,,,,II-րդ քվինտիլ,բանկային ծառայություններ,94.6
2023,,,,,III-րդ քվինտիլ,բանկային ծառայություններ,91.3
2023,,,,,IV-րդ քվինտիլ,բանկային ծառայություններ,89.5
2023,,,,,V-րդ քվինտիլ,բանկային ծառայություններ,89.5
2023,,,,,,առողջապահություն,91.2
2023,տղամարդ,,,,,առողջապահություն,91.5
2023,կին,,,,,առողջապահություն,90.9
2023,,քաղաք,,,,առողջապահություն,88.2
2023,,գյուղ,,,,առողջապահություն,95.7
2023,,,0-25 տարեկան,,,առողջապահություն,91.9
2023,,,25-34 տարեկան,,,առողջապահություն,91.4
2023,,,35-44 տարեկան,,,առողջապահություն,91.7
2023,,,45-54 տարեկան,,,առողջապահություն,90.9
2023,,,55-64 տարեկան,,,առողջապահություն,91.6
2023,,,65 և բարձր տարիքի,,,առողջապահություն,89.3
2023,,,,հաշմանդամներ,,առողջապահություն,86.9
2023,,,,,I-ին քվինտիլ,առողջապահություն,94.9
2023,,,,,II-րդ քվինտիլ,առողջապահություն,93.4
2023,,,,,III-րդ քվինտիլ,առողջապահություն,90.2
2023,,,,,IV-րդ քվինտիլ,առողջապահություն,89.7
2023,,,,,V-րդ քվինտիլ,առողջապահություն,88.1
2023,,,,,,կրթություն,93.4
2023,տղամարդ,,,,,կրթություն,93.4
2023,կին,,,,,կրթություն,93.3
2023,,քաղաք,,,,կրթություն,92.2
2023,,գյուղ,,,,կրթություն,94.7
2023,,,0-25 տարեկան,,,կրթություն,92.9
2023,,,25-34 տարեկան,,,կրթություն,94.6
2023,,,35-44 տարեկան,,,կրթություն,93.3
2023,,,45-54 տարեկան,,,կրթություն,93.2
2023,,,55-64 տարեկան,,,կրթություն,94.7
2023,,,65 և բարձր տարիքի,,,կրթություն,92.9
2023,,,,հաշմանդամներ,,կրթություն,92.9
2023,,,,,I-ին քվինտիլ,կրթություն,96.1
2023,,,,,II-րդ քվինտիլ,կրթություն,94.9
2023,,,,,III-րդ քվինտիլ,կրթություն,92.6
2023,,,,,IV-րդ քվինտիլ,կրթություն,91.6
2023,,,,,V-րդ քվինտիլ,կրթություն,89.6
2023,,,,,,հասարակական տրանսպորտ,85.0
2023,տղամարդ,,,,,հասարակական տրանսպորտ,84.7
2023,կին,,,,,հասարակական տրանսպորտ,85.3
2023,,քաղաք,,,,հասարակական տրանսպորտ,87.3
2023,,գյուղ,,,,հասարակական տրանսպորտ,81.0
2023,,,0-25 տարեկան,,,հասարակական տրանսպորտ,85.0
2023,,,25-34 տարեկան,,,հասարակական տրանսպորտ,84.6
2023,,,35-44 տարեկան,,,հասարակական տրանսպորտ,84.2
2023,,,45-54 տարեկան,,,հասարակական տրանսպորտ,85.8
2023,,,55-64 տարեկան,,,հասարակական տրանսպորտ,82.6
2023,,,65 և բարձր տարիքի,,,հասարակական տրանսպորտ,87.3
2023,,,,հաշմանդամներ,,հասարակական տրանսպորտ,85.3
2023,,,,,I-ին քվինտիլ,հասարակական տրանսպորտ,88.9
2023,,,,,II-րդ քվինտիլ,հասարակական տրանսպորտ,84.9
2023,,,,,III-րդ քվինտիլ,հասարակական տրանսպորտ,85.8
2023,,,,,IV-րդ քվինտիլ,հասարակական տրանսպորտ,82.7
2023,,,,,V-րդ քվինտիլ,հասարակական տրանսպորտ,83.0
